DEPARTAMENTO,ÁREA,Total hogares sin conexión a Internet,,,,Razón principal por la que el hogar no tiene conexión a Internet,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,Es muy costoso,,,,,No lo considera necesario,,,,,No tiene un dispositivo para conectarse,,,,,"Puede acceder desde el trabajo, la institución educativa, la vivienda de otra persona",,,,,Puede conectarse sin costo desde lugares de acceso público,,,,,No sabe usarlo,,,,,No hay cobertura en la zona,,,,,"Aunque en la zona hay cobertura, la calidad del servicio es deficiente",,,,Otra,,,
SANTANDER,TOTAL,269,22,"4,2%",,137,16,"6,0%","50,9",,86,11,"6,8%","31,9",,12,4,"17,0%","4,5",,2,2,"38,8%","0,7",,1,1,"98,7%","0,2",,9,3,"16,9%","3,5",,13,5,"20,8%","4,8",,3,3,"40,8%","1,3",6,3,"26,9%","2,1"
,CABECERA,163,22,"6,7%",,91,16,"8,7%","56,0",,51,11,"10,8%","31,1",,6,4,"28,3%","4,0",,2,2,"42,1%","1,1",,1,1,"98,7%","0,4",,5,2,"28,0%","2,8",,0,1,"99,9%","0,3",,2,2,"74,2%","1,0",5,3,"28,3%","3,3"
,CENTROS POBLADOS Y RURAL DISPERSO,106,6,"3,1%",,46,6,"6,4%","42,9",,35,4,"6,3%","33,2",,6,2,"17,2%","5,4",,0,0,"64,5%","0,2",,0,0,.,-,,5,2,"19,2%","4,6",,12,5,"21,3%","11,7",,2,1,"36,6%","1,6",0,0,"50,9%","0,3"
SUCRE,TOTAL,169,9,"2,6%",,114,8,"3,5%","67,5",,35,4,"6,3%","20,6",,7,2,"12,6%","3,9",,1,1,"34,5%","0,8",,1,1,"40,7%","0,5",,5,1,"12,6%","2,9",,5,2,"16,3%","2,8",,1,1,"33,1%","0,6",1,1,"49,8%","0,4"
,CABECERA,84,8,"5,1%",,59,8,"6,6%","70,2",,19,4,"10,4%","22,7",,3,1,"24,4%","3,0",,1,1,"42,9%","1,2",,0,0,.,-,,1,1,"28,5%","1,5",,0,1,"74,3%","0,5",,0,0,"76,3%","0,3",0,1,"62,4%","0,5"
,CENTROS POBLADOS Y RURAL DISPERSO,85,5,"2,8%",,55,4,"3,9%","64,8",,16,2,"7,9%","18,5",,4,1,"14,3%","4,9",,0,0,"55,0%","0,5",,1,1,"40,7%","0,9",,4,1,"14,2%","4,2",,4,1,"16,4%","5,2",,1,0,"34,1%","0,8",0,0,"71,1%","0,2"
TOLIMA,TOTAL,184,14,"3,9%",,93,10,"5,7%","50,4",,65,8,"6,3%","35,2",,3,1,"23,6%","1,4",,1,1,"61,3%","0,3",,0,0,"99,4%","0,0",,17,3,"9,1%","9,3",,5,2,"18,6%","2,9",,0,0,"100,0%","0,1",1,1,"70,6%","0,4"
,CABECERA,117,13,"5,9%",,62,10,"8,2%","53,3",,47,8,"8,4%","39,9",,0,1,"82,7%","0,3",,0,1,"75,8%","0,4",,0,0,.,-,,6,2,"19,6%","5,5",,0,0,.,-,,0,0,.,-,1,1,"73,6%","0,6"
,CENTROS POBLADOS Y RURAL DISPERSO,67,5,"3,4%",,31,3,"5,1%","45,5",,18,3,"7,1%","27,0",,2,1,"23,7%","3,2",,0,0,"100,0%","0,3",,0,0,"99,4%","0,0",,11,2,"9,2%","16,0",,5,2,"18,6%","7,8",,0,0,"100,0%","0,2",0,0,"100,0%","0,0"
VALLE DEL CAUCA,TOTAL,351,41,"6,0%",,175,30,"8,7%","49,9",,93,14,"7,7%","26,6",,23,8,"17,3%","6,6",,11,7,"30,3%","3,3",,2,3,"84,7%","0,5",,20,7,"17,9%","5,7",,8,3,"22,0%","2,2",,8,6,"38,3%","2,3",10,6,"29,2%","2,8"
,CABECERA,258,41,"8,1%",,137,30,"11,1%","53,1",,62,13,"11,0%","24,2",,17,8,"23,2%","6,7",,11,7,"31,8%","4,2",,1,3,"98,8%","0,6",,15,7,"23,1%","5,9",,1,1,"98,4%","0,3",,5,6,"63,6%","1,8",9,6,"33,3%","3,3"
,CENTROS POBLADOS Y RURAL DISPERSO,93,8,"4,2%",,38,5,"6,9%","41,3",,31,5,"7,8%","33,2",,6,2,"17,4%","6,4",,1,1,"48,2%","0,6",,0,1,"99,9%","0,3",,5,2,"18,0%","5,4",,7,3,"22,0%","7,7",,3,2,"25,5%","3,7",1,1,"40,8%","1,4"
VAUPÉS,TOTAL,13,0,"1,6%",,4,1,"8,5%","27,6",,5,1,"7,0%","34,5",,1,0,"17,2%","5,4",,0,0,"28,9%","2,2",,0,0,"50,5%","0,5",,1,0,"17,3%","5,8",,3,1,"15,4%","20,3",,0,0,"35,6%","3,7",0,0,"99,7%","0,1"
,CABECERA,3,0,"5,3%",,1,0,"12,0%","42,9",,1,0,"9,9%","43,3",,0,0,"33,6%","2,6",,0,0,"31,7%","2,6",,0,0,.,-,,0,0,"37,8%","1,6",,0,0,"40,9%","2,3",,0,0,"32,2%","4,5",0,0,"99,7%","0,2"
,CENTROS POBLADOS Y RURAL DISPERSO,11,0,"1,7%",,2,1,"11,4%","23,3",,3,1,"9,1%","32,1",,1,0,"18,8%","6,1",,0,0,"37,6%","2,0",,0,0,"50,5%","0,7",,1,0,"18,3%","7,0",,3,1,"15,7%","25,4",,0,0,"47,2%","3,4",0,0,.,-
VICHADA,TOTAL,44,1,"1,5%",,14,2,"7,1%","31,0",,10,2,"8,7%","23,8",,1,0,"24,5%","1,7",,0,0,"26,2%","0,3",,0,0,"95,0%","0,1",,3,1,"18,2%","7,2",,16,2,"7,4%","35,3",,0,0,"60,2%","0,3",0,0,"46,5%","0,2"
,CABECERA,8,0,"3,1%",,5,0,"4,8%","63,9",,2,0,"10,3%","28,2",,0,0,"25,3%","2,0",,0,0,"26,2%","1,6",,0,0,.,-,,0,0,"26,0%","2,2",,0,0,"43,7%","0,8",,0,0,"45,4%","0,5",0,0,"44,7%","0,7"
,CENTROS POBLADOS Y RURAL DISPERSO,37,1,"1,7%",,9,2,"10,7%","24,3",,8,2,"10,7%","22,9",,1,0,"29,9%","1,7",,0,0,.,-,,0,0,"95,0%","0,1",,3,1,"19,1%","8,3",,16,2,"7,5%","42,4",,0,0,"81,0%","0,3",0,0,"92,9%","0,1"
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Fuente: DANE - Encuesta Nacional de Calidad de Vida - ECV 2023,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Datos expandidos con proyecciones de población, con base en los resultados del censo 2018.",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
b/ Limite medio del intervalo con 95% de confianza,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"c/ Coeficiente de variación estimado. Valores del coeficiente de variación inferiores al 10% representan alta precisión en las estimaciones; valores entre 10% y 15% significan precisión aceptable de las cifras estimadas y requieren revisiones; y valores del coeficiente de variación superiores al 15% transmiten baja precisión de las estimaciones, por lo que éstas deben usarse con precaución.",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"* Por efecto del redondeo en miles, los totales pueden diferir ligeramente.",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Actualizado el 09 de agosto de 2024.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
